비트코인 고가변동률,이더리움 고가변동률,비트코인캐시 고가변동률,이오스 고가변동률,트론 고가변동률,라이트코인 고가변동률
0.6024007,1.2713691,2.152187253,0.973028337,0.6754503,1.69864504
-2.2697758,-1.8748238,-0.687793836,-1.013856032,1.868841318,-1.226004982
1.7023275,-0.7137859,0.004353315,-0.193945527,1.003861004,-0.014651299
3.8006306,4.3598919,1.354571126,1.745956844,2.013129103,2.972089515
2.6632679,0.0511472,-2.64186606,-1.897988385,-1.568019299,0.274829177
-0.681857,-0.3422413,1.841805932,1.153633306,0.051719679,-0.226409399
-6.1212289,-9.5620678,-6.388729626,-6.047274327,-8.86165449,-8.588971163
7.5021553,7.6568593,6.229879057,4.680761985,4.929519413,7.198146231
18.7303419,19.6251378,23.67373292,19.11530022,18.7567303,16.61587995
-1.0988809,-2.2305141,-1.00665779,-0.963105645,-1.084535683,-2.775371028
1.1826495,-3.0390738,2.043589326,-1.392879755,0.174604714,-1.681734495
-8.4252895,-5.8654356,-2.917897847,-3.81318218,-6.290337242,-5.546615449
4.0533106,-1.8204785,5.037964862,0.385610158,4.532497149,2.367351277
-5.0452454,-3.0822411,-4.428200646,-5.736069861,-3.165255797,-5.522504205
-25.477515,-28.9355169,-29.49019608,-26.7493587,-27.25568942,-18.27301822
-0.1679935,-3.7248719,-2.593859139,-1.174469724,-2.180318209,-3.888319268
-2.0747652,-1.2936485,-1.019048648,-1.148295004,-0.605232331,-1.257739185
-0.1630142,-1.2534217,-0.846186804,-0.297289604,0.628683694,-1.612903226
-8.2043204,-12.2503161,-15.32996765,-13.20138355,-10.18175401,-13.6495964
-3.1892646,-5.6648778,-5.757834758,-5.105762217,-7.336349267,-5.26068356
0.1702091,2.6818516,-0.366175594,-0.306445749,-0.010899777,0.045465948
0.1956862,4.7102069,2.687498178,0.357059084,0.147363825,0.943217067
3.4727328,2.3178518,3.34678877,4.510663798,2.944151028,2.350292369
-0.8011939,-1.5965916,-2.154626109,-1.266673838,1.165236173,-0.967276227
-0.5590395,-0.7983265,-0.960415694,-1.153703015,-1.151814811,0.112413682
2.5706176,2.9897995,5.738185634,3.111038018,4.258684318,3.409336234
-0.6425054,-2.3317731,0.511913626,-0.278802788,-1.913353252,-2.216556786
-1.1799476,-0.7162652,-2.086940673,-0.589641867,0.178437806,-2.71713374
-0.7760668,-1.4785567,-1.669753271,-1.411771009,-1.025465732,-2.582333026
-4.2676743,-4.7910418,-7.32733564,-9.225980595,-8.4732506,-9.900166389
-3.1450637,-6.0562798,-4.798924788,-2.844520046,-3.850396069,-5.066540299
-3.0928765,-3.8437918,-6.926661761,-3.736638617,-7.819576671,-4.65498632
